Ref,Val,Package,PosX,PosY,Rot,Side
"HE48","49E","SW_MX_HE_90deg_1u",340.410000,-79.850000,180.000000,bottom
"HE49","49E","SW_MX_HE_90deg_1u",359.460000,-79.850000,180.000000,bottom
"HE50","49E","SW_MX_HE_90deg_1u",383.272500,-79.850000,180.000000,bottom
"HE51","49E","SW_MX_HE_90deg_1u",411.847500,-79.850000,180.000000,bottom
"HE52","49E","SW_MX_HE_90deg_1u",35.610000,-98.900000,180.000000,bottom
"HE53","49E","SW_MX_HE_90deg_1u",54.660000,-98.900000,180.000000,bottom
"HE54","49E","SW_MX_HE_90deg_1u",73.710000,-98.900000,180.000000,bottom
"HE55","49E","SW_MX_HE_90deg_1u",128.478750,-98.900000,180.000000,bottom
"HE56","49E","SW_MX_HE_90deg_1u",154.672500,-98.900000,180.000000,bottom
"HE57","49E","SW_MX_HE_90deg_1u",173.722500,-98.900000,180.000000,bottom
"HE58","49E","SW_MX_HE_90deg_1u",192.772500,-98.900000,180.000000,bottom
"HE59","49E","SW_MX_HE_90deg_1u",211.822500,-98.900000,180.000000,bottom
"HE60","49E","SW_MX_HE_90deg_1u",230.872500,-98.900000,180.000000,bottom
"HE61","49E","SW_MX_HE_90deg_1u",249.922500,-98.900000,180.000000,bottom
"HE62","49E","SW_MX_HE_90deg_1u",268.972500,-98.900000,180.000000,bottom
"HE63","49E","SW_MX_HE_90deg_1u",288.022500,-98.900000,180.000000,bottom
"HE64","49E","SW_MX_HE_90deg_1u",307.072500,-98.900000,180.000000,bottom
"HE65","49E","SW_MX_HE_90deg_1u",326.122500,-98.900000,180.000000,bottom
"HE66","49E","SW_MX_HE_90deg_1u",345.172500,-98.900000,180.000000,bottom
"HE67","49E","SW_MX_HE_90deg_1u",376.128750,-98.900000,180.000000,bottom
"HE68","49E","SW_MX_HE_90deg_1u",411.847500,-98.900000,180.000000,bottom
"HE69","49E","SW_MX_HE_90deg_1u",35.610000,-117.950000,180.000000,bottom
"HE70","49E","SW_MX_HE_90deg_1u",54.660000,-117.950000,180.000000,bottom
"HE71","49E","SW_MX_HE_90deg_1u",73.710000,-117.950000,180.000000,bottom
"HE72","49E","SW_MX_HE_90deg_1u",92.760000,-127.475000,180.000000,bottom
"HE73","49E","SW_MX_HE_90deg_1u",133.241250,-117.950000,180.000000,bottom
"HE74","49E","SW_MX_HE_90deg_1u",164.197500,-117.950000,180.000000,bottom
"HE75","49E","SW_MX_HE_90deg_1u",183.247500,-117.950000,180.000000,bottom
"HE76","49E","SW_MX_HE_90deg_1u",202.297500,-117.950000,180.000000,bottom
"HE77","49E","SW_MX_HE_90deg_1u",221.347500,-117.950000,180.000000,bottom
"HE78","49E","SW_MX_HE_90deg_1u",240.397500,-117.950000,180.000000,bottom
"HE79","49E","SW_MX_HE_90deg_1u",259.447500,-117.950000,180.000000,bottom
"HE80","49E","SW_MX_HE_90deg_1u",278.497500,-117.950000,180.000000,bottom
"HE81","49E","SW_MX_HE_90deg_1u",297.547500,-117.950000,180.000000,bottom
"HE82","49E","SW_MX_HE_90deg_1u",316.597500,-117.950000,180.000000,bottom
"HE83","49E","SW_MX_HE_90deg_1u",335.647500,-117.950000,180.000000,bottom
"HE84","49E","SW_MX_HE_90deg_1u",361.841250,-117.950000,180.000000,bottom
"HE85","49E","SW_MX_HE_90deg_1u",388.035000,-117.950000,180.000000,bottom
"HE86","49E","SW_MX_HE_90deg_1u",35.610000,-137.000000,180.000000,bottom
"HE87","49E","SW_MX_HE_90deg_1u",64.185000,-137.000000,180.000000,bottom
"HE88","49E","SW_MX_HE_90deg_1u",123.716250,-137.000000,180.000000,bottom
"HE89","49E","SW_MX_HE_90deg_1u",147.528750,-137.000000,180.000000,bottom
"HE90","49E","SW_MX_HE_90deg_1u",171.341250,-137.000000,180.000000,bottom
"HE91","49E","SW_MX_HE_90deg_1u",242.778750,-137.000000,180.000000,bottom
"HE92","49E","SW_MX_HE_90deg_1u",311.835000,-137.000000,180.000000,bottom
"HE93","49E","SW_MX_HE_90deg_1u",330.885000,-137.000000,180.000000,bottom
"HE94","49E","SW_MX_HE_90deg_1u",349.935000,-137.000000,180.000000,bottom
